Company Name,Industry,Symbol,Series,ISIN Code
Shree Renuka Sugars Ltd.,CONSUMER GOODS,RENUKA,EQ,INE087H01022
Siyaram Silk Mills Ltd.,TEXTILES,SIYSIL,EQ,INE076B01028
Snowman Logistics Ltd.,SERVICES,SNOWMAN,EQ,INE734N01019
Somany Ceramics Ltd.,CONSUMER GOODS,SOMANYCERA,EQ,INE355A01028
Somany Home Innovation Ltd.,CONSUMER GOODS,SHIL,EQ,INE05AN01011
South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,EQ,INE683A01023
Steel Strips Wheels Ltd.,AUTOMOBILE,SSWL,EQ,INE802C01025
Stove Kraft Ltd.,CONSUMER GOODS,STOVEKRAFT,EQ,INE00IN01015
Subex Ltd.,IT,SUBEXLTD,EQ,INE754A01055
Subros Ltd.,AUTOMOBILE,SUBROS,EQ,INE287B01021
Sundaram Clayton Ltd.,AUTOMOBILE,SUNCLAYLTD,EQ,INE105A01035
Sunflag Iron & Steel Company Ltd.,METALS,SUNFLAG,EQ,INE947A01014
Surya Roshni Ltd.,METALS,SURYAROSNI,EQ,INE335A01012
Suryoday Small Finance Bank Ltd.,FINANCIAL SERVICES,SURYODAY,EQ,INE428Q01011
Swan Energy Ltd.,TEXTILES,SWANENERGY,EQ,INE665A01038
Swaraj Engines Ltd.,INDUSTRIAL MANUFACTURING,SWARAJENG,EQ,INE277A01016
TV Today Network Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,TVTODAY,EQ,INE038F01029
TVS Srichakra Ltd.,AUTOMOBILE,TVSSRICHAK,EQ,INE421C01016
Take Solutions Ltd.,HEALTHCARE SERVICES,TAKE,EQ,INE142I01023
Tamil Nadu Newsprint & Papers Ltd.,PAPER AND JUTE,TNPL,EQ,INE107A01015
Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST,EQ,INE672A01018
Tata Metaliks Ltd.,METALS,TATAMETALI,EQ,INE056C01010
Techno Electric & Engineering Company Ltd.,CONSTRUCTION,TECHNOE,EQ,INE285K01026
Tejas Networks Ltd.,TELECOM,TEJASNET,EQ,INE010J01012
Thirumalai Chemicals Ltd.,CHEMICALS,TIRUMALCHM,EQ,INE338A01024
Thomas Cook (India) Ltd.,CONSUMER SERVICES,THOMASCOOK,EQ,INE332A01027
Tide Water Oil (India) Ltd.,OIL & GAS,TIDEWATER,EQ,INE484C01030
Time Technoplast Ltd.,INDUSTRIAL MANUFACTURING,TIMETECHNO,EQ,INE508G01029
Tinplate Company of India Ltd.,INDUSTRIAL MANUFACTURING,TINPLATE,EQ,INE422C01014
Transport Corporation of India Ltd.,SERVICES,TCI,EQ,INE688A01022
Triveni Engineering & Industries Ltd.,CONSUMER GOODS,TRIVENI,EQ,INE256C01024
Unichem Laboratories Ltd.,PHARMA,UNICHEMLAB,EQ,INE351A01035
Usha Martin Ltd.,METALS,USHAMART,EQ,INE228A01035
V.S.T Tillers Tractors Ltd.,AUTOMOBILE,VSTTILLERS,EQ,INE764D01017
VRL Logistics Ltd.,SERVICES,VRLLOG,EQ,INE366I01010
VST Industries Ltd.,CONSUMER GOODS,VSTIND,EQ,INE710A01016
Va Tech Wabag Ltd.,UTILITIES,WABAG,EQ,INE956G01038
Vesuvius India Ltd.,INDUSTRIAL MANUFACTURING,VESUVIUS,EQ,INE386A01015
Vindhya Telelinks Ltd.,TELECOM,VINDHYATEL,EQ,INE707A01012
Voltamp Transformers Ltd,INDUSTRIAL MANUFACTURING,VOLTAMP,EQ,INE540H01012
Welspun Enterprises Ltd.,CONSTRUCTION,WELENT,EQ,INE625G01013
West Coast Paper Mills Ltd.,PAPER AND JUTE,WSTCSTPAPR,EQ,INE976A01021
Wheels India Ltd.,AUTOMOBILE,WHEELS,EQ,INE715A01015
Wonderla Holidays Ltd.,CONSUMER SERVICES,WONDERLA,EQ,INE066O01014
